Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Get All Features,,,2019-04-05 12:00:16,2019-04-05 12:00:22,6.376s,FAILED
,,,,,,
Test Cases/API Test/Get All Features/Fail Without Auth,,,2019-04-05 12:00:16,2019-04-05 12:00:20,4.445s,FAILED
"request = findTestObject(""Object Repository/Org Admin/Get All Features"")",,,2019-04-05 12:00:17,2019-04-05 12:00:17,0.046s,PASSED
response = sendRequest(request),,,2019-04-05 12:00:17,2019-04-05 12:00:20,3.714s,PASSED
"verifyResponseStatusCode(response, 401)",,,2019-04-05 12:00:20,2019-04-05 12:00:20,0.049s,FAILED
,,,,,,
Test Cases/API Test/Get All Features/Succeed With Auth,,,2019-04-05 12:00:20,2019-04-05 12:00:22,1.427s,PASSED
"request = findTestObject(""Object Repository/Org Admin/Get All Features"")",,,2019-04-05 12:00:21,2019-04-05 12:00:21,0.005s,PASSED
"authHeader = new com.kms.katalon.core.testobject.TestObjectProperty(Authorization, com.kms.katalon.core.testobject.ConditionType.EQUALS, (Bearer  + internal.GlobalVariable.Authorization))",,,2019-04-05 12:00:21,2019-04-05 12:00:21,0.117s,PASSED
httpHeaderProperties.add(authHeader),,,2019-04-05 12:00:21,2019-04-05 12:00:21,0.013s,PASSED
response = sendRequest(request),,,2019-04-05 12:00:21,2019-04-05 12:00:22,0.814s,PASSED
"verifyResponseStatusCode(response, 200)",,,2019-04-05 12:00:22,2019-04-05 12:00:22,0.005s,PASSED
"verifyElementPropertyValue(response, ""message"", ""success"")",,,2019-04-05 12:00:22,2019-04-05 12:00:22,0.103s,PASSED
"verifyElementPropertyValue(response, ""isSuccess"", true)",,,2019-04-05 12:00:22,2019-04-05 12:00:22,0.028s,PASSED
