Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Get Organization List,,,2019-04-05 12:46:54,2019-04-05 12:47:15,21.193s,PASSED
,,,,,,
Test Cases/API Test/Get Organization List/Succeed With Auth,,,2019-04-05 12:46:56,2019-04-05 12:47:13,17.027s,PASSED
"signInRequest = findTestObject(""Object Repository/Auth/Sign In"")",,,2019-04-05 12:46:58,2019-04-05 12:46:58,0.595s,PASSED
signInResponse = sendRequest(signInRequest),,,2019-04-05 12:46:58,2019-04-05 12:47:11,12.446s,PASSED
"request = findTestObject(""Object Repository/Org Admin/Get Organization List"")",,,2019-04-05 12:47:11,2019-04-05 12:47:11,0.078s,PASSED
jsonSlurper = new groovy.json.JsonSlurper(),,,2019-04-05 12:47:11,2019-04-05 12:47:11,0.027s,PASSED
signInResponseBody = jsonSlurper.parseText(signInResponse.getResponseBodyContent()),,,2019-04-05 12:47:11,2019-04-05 12:47:11,0.061s,PASSED
"authHeader = new com.kms.katalon.core.testobject.TestObjectProperty(Authorization, com.kms.katalon.core.testobject.ConditionType.EQUALS, (Bearer  + signInResponseBody.data.token))",,,2019-04-05 12:47:11,2019-04-05 12:47:11,0.113s,PASSED
httpHeaderProperties.add(authHeader),,,2019-04-05 12:47:11,2019-04-05 12:47:11,0.038s,PASSED
"Authorization = ""Bearer "" + token",,,2019-04-05 12:47:11,2019-04-05 12:47:11,0.515s,PASSED
response = sendRequest(request),,,2019-04-05 12:47:11,2019-04-05 12:47:12,1.071s,PASSED
"verifyResponseStatusCode(response, 200)",,,2019-04-05 12:47:12,2019-04-05 12:47:13,0.035s,PASSED
"verifyElementPropertyValue(response, ""isSuccess"", true)",,,2019-04-05 12:47:13,2019-04-05 12:47:13,0.297s,PASSED
,,,,,,
Test Cases/API Test/Get Organization List/Fail Without Auth,,,2019-04-05 12:47:13,2019-04-05 12:47:15,1.544s,PASSED
"request = findTestObject(""Object Repository/Org Admin/Get Organization List"")",,,2019-04-05 12:47:14,2019-04-05 12:47:14,0.010s,PASSED
response = sendRequest(request),,,2019-04-05 12:47:14,2019-04-05 12:47:15,0.707s,PASSED
"verifyResponseStatusCode(response, 401)",,,2019-04-05 12:47:15,2019-04-05 12:47:15,0.004s,PASSED
