Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Mail History List,,,2019-04-05 12:48:05,2019-04-05 12:48:17,12.060s,FAILED
,,,,,,
Test Cases/API Test/Mail History List/Fail Without Auth,,,2019-04-05 12:48:06,2019-04-05 12:48:14,8.168s,PASSED
"request = findTestObject(""Object Repository/Mail/Mail History List"")",,,2019-04-05 12:48:08,2019-04-05 12:48:08,0.084s,PASSED
response = sendRequest(request),,,2019-04-05 12:48:08,2019-04-05 12:48:14,5.729s,PASSED
"verifyResponseStatusCode(response, 401)",,,2019-04-05 12:48:14,2019-04-05 12:48:14,0.030s,PASSED
,,,,,,
Test Cases/API Test/Mail History List/Succeed with Auth,,,2019-04-05 12:48:14,2019-04-05 12:48:17,2.726s,FAILED
"request = findTestObject(""Object Repository/Mail/Mail History List"")",,,2019-04-05 12:48:15,2019-04-05 12:48:15,0.018s,PASSED
"authHeader = new com.kms.katalon.core.testobject.TestObjectProperty(Authorization, com.kms.katalon.core.testobject.ConditionType.EQUALS, (Bearer  + internal.GlobalVariable.Authorization))",,,2019-04-05 12:48:15,2019-04-05 12:48:16,0.753s,PASSED
httpHeaderProperties.add(authHeader),,,2019-04-05 12:48:16,2019-04-05 12:48:16,0.017s,PASSED
response = sendRequest(request),,,2019-04-05 12:48:16,2019-04-05 12:48:16,0.619s,PASSED
"verifyResponseStatusCode(response, 200)",,,2019-04-05 12:48:16,2019-04-05 12:48:17,0.026s,FAILED
