Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Get Organization List,,,2019-04-04 17:27:06,2019-04-04 17:27:15,8.979s,PASSED
,,,,,,
Test Cases/API Test/Get Organization List/Succeed With Auth,,,2019-04-04 17:27:07,2019-04-04 17:27:14,7.226s,PASSED
"signInRequest = findTestObject(""Object Repository/Auth/Sign In"")",,,2019-04-04 17:27:08,2019-04-04 17:27:08,0.114s,PASSED
signInResponse = sendRequest(signInRequest),,,2019-04-04 17:27:08,2019-04-04 17:27:12,4.249s,PASSED
"request = findTestObject(""Object Repository/Org Admin/Get Organization List"")",,,2019-04-04 17:27:12,2019-04-04 17:27:12,0.014s,PASSED
jsonSlurper = new groovy.json.JsonSlurper(),,,2019-04-04 17:27:12,2019-04-04 17:27:12,0.016s,PASSED
signInResponseBody = jsonSlurper.parseText(signInResponse.getResponseBodyContent()),,,2019-04-04 17:27:12,2019-04-04 17:27:12,0.078s,PASSED
"GlobalVariableHelper.addGlobalVariable(""Authorization"", ""Bearer "" + token)",,,2019-04-04 17:27:12,2019-04-04 17:27:13,0.464s,PASSED
"Authorization = ""Bearer "" + token",,,2019-04-04 17:27:13,2019-04-04 17:27:13,0.006s,PASSED
println(Authorization),,,2019-04-04 17:27:13,2019-04-04 17:27:13,0.014s,PASSED
"authHeader = new com.kms.katalon.core.testobject.TestObjectProperty(Authorization, com.kms.katalon.core.testobject.ConditionType.EQUALS, (Bearer  + signInResponseBody.data.token))",,,2019-04-04 17:27:13,2019-04-04 17:27:13,0.026s,PASSED
httpHeaderProperties.add(authHeader),,,2019-04-04 17:27:13,2019-04-04 17:27:13,0.027s,PASSED
"Authorization = ""Bearer "" + token",,,2019-04-04 17:27:13,2019-04-04 17:27:13,0.004s,PASSED
response = sendRequest(request),,,2019-04-04 17:27:13,2019-04-04 17:27:14,1.014s,PASSED
"verifyResponseStatusCode(response, 200)",,,2019-04-04 17:27:14,2019-04-04 17:27:14,0.040s,PASSED
"verifyElementPropertyValue(response, ""isSuccess"", true)",,,2019-04-04 17:27:14,2019-04-04 17:27:14,0.089s,PASSED
,,,,,,
Test Cases/API Test/Get Organization List/Fail Without Auth,,,2019-04-04 17:27:14,2019-04-04 17:27:15,1.062s,PASSED
"request = findTestObject(""Object Repository/Org Admin/Get Organization List"")",,,2019-04-04 17:27:15,2019-04-04 17:27:15,0.011s,PASSED
response = sendRequest(request),,,2019-04-04 17:27:15,2019-04-04 17:27:15,0.663s,PASSED
"verifyResponseStatusCode(response, 401)",,,2019-04-04 17:27:15,2019-04-04 17:27:15,0.012s,PASSED
