Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Add Organization,,,2019-04-05 14:03:30,2019-04-05 14:03:38,8.340s,FAILED
,,,,,,
Test Cases/API Test/Add Organization/Succeed With Auth,,,2019-04-05 14:03:30,2019-04-05 14:03:35,5.063s,FAILED
"request = findTestObject(""Object Repository/Org Admin/Add Organization"")",,,2019-04-05 14:03:31,2019-04-05 14:03:31,0.209s,PASSED
"authHeader = new com.kms.katalon.core.testobject.TestObjectProperty(Authorization, com.kms.katalon.core.testobject.ConditionType.EQUALS, (Bearer  + internal.GlobalVariable.Authorization))",,,2019-04-05 14:03:31,2019-04-05 14:03:32,0.119s,PASSED
httpHeaderProperties.add(authHeader),,,2019-04-05 14:03:32,2019-04-05 14:03:32,0.083s,PASSED
response = sendRequest(request),,,2019-04-05 14:03:32,2019-04-05 14:03:35,3.705s,PASSED
println(Authorization),,,2019-04-05 14:03:35,2019-04-05 14:03:35,0.008s,PASSED
"verifyResponseStatusCode(response, 200)",,,2019-04-05 14:03:35,2019-04-05 14:03:35,0.123s,FAILED
,,,,,,
Test Cases/API Test/Add Organization/Fail Without Auth,,,2019-04-05 14:03:36,2019-04-05 14:03:36,0.944s,PASSED
"request = findTestObject(""Object Repository/Org Admin/Add Organization"")",,,2019-04-05 14:03:36,2019-04-05 14:03:36,0.017s,PASSED
response = sendRequest(request),,,2019-04-05 14:03:36,2019-04-05 14:03:36,0.638s,PASSED
"verifyResponseStatusCode(response, 401)",,,2019-04-05 14:03:36,2019-04-05 14:03:36,0.004s,PASSED
,,,,,,
Test Cases/API Test/Add Organization/Fail With Auth,,,2019-04-05 14:03:36,2019-04-05 14:03:38,1.631s,FAILED
"response = sendRequest(findTestObject(""Object Repository/Org Admin/Add Organization""))",,,2019-04-05 14:03:37,2019-04-05 14:03:38,0.782s,PASSED
"verifyEqual(statusCode, 200)",,,2019-04-05 14:03:38,2019-04-05 14:03:38,0.149s,FAILED
