Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Get All Features,,,2019-04-05 12:47:19,2019-04-05 12:47:38,18.646s,FAILED
,,,,,,
Test Cases/API Test/Get All Features/Fail Without Auth,,,2019-04-05 12:47:21,2019-04-05 12:47:33,11.841s,FAILED
"request = findTestObject(""Object Repository/Org Admin/Get All Features"")",,,2019-04-05 12:47:23,2019-04-05 12:47:23,0.267s,PASSED
response = sendRequest(request),,,2019-04-05 12:47:23,2019-04-05 12:47:32,8.841s,PASSED
"verifyResponseStatusCode(response, 401)",,,2019-04-05 12:47:32,2019-04-05 12:47:33,0.823s,FAILED
,,,,,,
Test Cases/API Test/Get All Features/Succeed With Auth,,,2019-04-05 12:47:33,2019-04-05 12:47:38,4.521s,PASSED
"request = findTestObject(""Object Repository/Org Admin/Get All Features"")",,,2019-04-05 12:47:35,2019-04-05 12:47:35,0.037s,PASSED
"authHeader = new com.kms.katalon.core.testobject.TestObjectProperty(Authorization, com.kms.katalon.core.testobject.ConditionType.EQUALS, (Bearer  + internal.GlobalVariable.Authorization))",,,2019-04-05 12:47:35,2019-04-05 12:47:35,0.420s,PASSED
httpHeaderProperties.add(authHeader),,,2019-04-05 12:47:35,2019-04-05 12:47:35,0.026s,PASSED
response = sendRequest(request),,,2019-04-05 12:47:35,2019-04-05 12:47:37,1.932s,PASSED
"verifyResponseStatusCode(response, 200)",,,2019-04-05 12:47:37,2019-04-05 12:47:37,0.009s,PASSED
"verifyElementPropertyValue(response, ""message"", ""success"")",,,2019-04-05 12:47:37,2019-04-05 12:47:38,0.274s,PASSED
"verifyElementPropertyValue(response, ""isSuccess"", true)",,,2019-04-05 12:47:38,2019-04-05 12:47:38,0.082s,PASSED
