Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Mailing Instructions,,,2019-04-05 16:36:46,2019-04-05 16:36:52,5.643s,FAILED
,,,,,,
Test Cases/API Test/Mailing Instructions/Fail Without Auth,,,2019-04-05 16:36:47,2019-04-05 16:36:51,4.066s,PASSED
"request = findTestObject(""Object Repository/Mail/Mailing Instruction"")",,,2019-04-05 16:36:47,2019-04-05 16:36:47,0.068s,PASSED
response = sendRequest(request),,,2019-04-05 16:36:47,2019-04-05 16:36:51,3.429s,PASSED
"verifyResponseStatusCode(response, 401)",,,2019-04-05 16:36:51,2019-04-05 16:36:51,0.017s,PASSED
,,,,,,
Test Cases/API Test/Mailing Instructions/Succeed With Auth,,,2019-04-05 16:36:51,2019-04-05 16:36:52,1.068s,FAILED
"request = findTestObject(""Object Repository/Mail/Mailing Instruction"")",,,2019-04-05 16:36:51,2019-04-05 16:36:51,0.007s,PASSED
"authHeader = new com.kms.katalon.core.testobject.TestObjectProperty(Authorization, com.kms.katalon.core.testobject.ConditionType.EQUALS, (Bearer  + internal.GlobalVariable.Authorization))",,,2019-04-05 16:36:51,2019-04-05 16:36:51,0.096s,PASSED
httpHeaderProperties.add(authHeader),,,2019-04-05 16:36:51,2019-04-05 16:36:51,0.009s,PASSED
response = sendRequest(request),,,2019-04-05 16:36:51,2019-04-05 16:36:52,0.641s,PASSED
"verifyResponseStatusCode(response, 200)",,,2019-04-05 16:36:52,2019-04-05 16:36:52,0.034s,FAILED
