Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Get User List,,,2019-04-05 12:04:36,2019-04-05 12:04:42,6.000s,FAILED
,,,,,,
Test Cases/API Test/Get User List/Fail Without Auth,,,2019-04-05 12:04:36,2019-04-05 12:04:40,4.181s,PASSED
"request = findTestObject(""Object Repository/User Admin/Get User List By Organization"")",,,2019-04-05 12:04:37,2019-04-05 12:04:37,0.042s,PASSED
response = sendRequest(request),,,2019-04-05 12:04:37,2019-04-05 12:04:40,3.491s,PASSED
"verifyResponseStatusCode(response, 401)",,,2019-04-05 12:04:40,2019-04-05 12:04:40,0.030s,PASSED
,,,,,,
Test Cases/API Test/Get User List/Succeed With Auth,,,2019-04-05 12:04:40,2019-04-05 12:04:42,1.274s,FAILED
"request = findTestObject(""Object Repository/Org Admin/Add Organization"")",,,2019-04-05 12:04:41,2019-04-05 12:04:41,0.027s,PASSED
"authHeader = new com.kms.katalon.core.testobject.TestObjectProperty(Authorization, com.kms.katalon.core.testobject.ConditionType.EQUALS, (Bearer  + internal.GlobalVariable.Authorization))",,,2019-04-05 12:04:41,2019-04-05 12:04:41,0.160s,PASSED
httpHeaderProperties.add(authHeader),,,2019-04-05 12:04:41,2019-04-05 12:04:41,0.014s,PASSED
response = sendRequest(request),,,2019-04-05 12:04:41,2019-04-05 12:04:42,0.587s,PASSED
println(Authorization),,,2019-04-05 12:04:42,2019-04-05 12:04:42,0.006s,PASSED
"verifyResponseStatusCode(response, 200)",,,2019-04-05 12:04:42,2019-04-05 12:04:42,0.028s,FAILED
