Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Sign In,,,2019-04-05 12:48:02,2019-04-05 12:48:20,17.768s,FAILED
,,,,,,
Test Cases/API Test/Sign In/When Successful,,,2019-04-05 12:48:03,2019-04-05 12:48:15,12.270s,PASSED
"sendRequest(findTestObject(""Object Repository/Auth/Sign In""))",,,2019-04-05 12:48:04,2019-04-05 12:48:12,8.495s,PASSED
"response = sendRequestAndVerify(findTestObject(""Object Repository/Auth/Sign In""))",,,2019-04-05 12:48:12,2019-04-05 12:48:15,2.279s,PASSED
"verifyElementPropertyValue(response, ""isSuccess"", true)",,,2019-04-05 12:48:15,2019-04-05 12:48:15,0.246s,PASSED
"verifyElementPropertyValue(response, ""message"", ""Successfully Authenticated !"")",,,2019-04-05 12:48:15,2019-04-05 12:48:15,0.038s,PASSED
,,,,,,
Test Cases/API Test/Sign In/When Unsuccessful/Invalid Password,,,2019-04-05 12:48:15,2019-04-05 12:48:18,2.550s,FAILED
"sendRequest(findTestObject(""Object Repository/Auth/Sign In""))",,,2019-04-05 12:48:16,2019-04-05 12:48:17,0.881s,PASSED
"response = sendRequestAndVerify(findTestObject(""Object Repository/Auth/Sign In""))",,,2019-04-05 12:48:17,2019-04-05 12:48:18,0.743s,PASSED
"verifyElementPropertyValue(response, ""isSuccess"", false)",,,2019-04-05 12:48:18,2019-04-05 12:48:18,0.052s,FAILED
,,,,,,
Test Cases/API Test/Sign In/When Unsuccessful/Invalid Username,,,2019-04-05 12:48:18,2019-04-05 12:48:20,1.808s,FAILED
"sendRequest(findTestObject(""Object Repository/Auth/Sign In""))",,,2019-04-05 12:48:18,2019-04-05 12:48:19,0.828s,PASSED
"response = sendRequestAndVerify(findTestObject(""Object Repository/Auth/Sign In""))",,,2019-04-05 12:48:19,2019-04-05 12:48:20,0.677s,PASSED
"verifyElementPropertyValue(response, ""isSuccess"", false)",,,2019-04-05 12:48:20,2019-04-05 12:48:20,0.036s,FAILED
