Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Get Country States,,,2019-04-05 12:00:25,2019-04-05 12:00:32,6.687s,FAILED
,,,,,,
Test Cases/API Test/Get Country States/Fail Without Auth,,,2019-04-05 12:00:26,2019-04-05 12:00:31,4.740s,FAILED
"response = sendRequest(findTestObject(""Object Repository/Org Admin/Get Country States""))",,,2019-04-05 12:00:27,2019-04-05 12:00:31,3.993s,PASSED
"verifyResponseStatusCode(response, 401)",,,2019-04-05 12:00:31,2019-04-05 12:00:31,0.067s,FAILED
,,,,,,
Test Cases/API Test/Get Country States/Succeed With Auth,,,2019-04-05 12:00:31,2019-04-05 12:00:32,1.404s,PASSED
"request = findTestObject(""Object Repository/Org Admin/Get Country States"")",,,2019-04-05 12:00:31,2019-04-05 12:00:31,0.008s,PASSED
"authHeader = new com.kms.katalon.core.testobject.TestObjectProperty(Authorization, com.kms.katalon.core.testobject.ConditionType.EQUALS, (Bearer  + internal.GlobalVariable.Authorization))",,,2019-04-05 12:00:31,2019-04-05 12:00:31,0.116s,PASSED
httpHeaderProperties.add(authHeader),,,2019-04-05 12:00:31,2019-04-05 12:00:31,0.014s,PASSED
response = sendRequest(request),,,2019-04-05 12:00:31,2019-04-05 12:00:32,0.803s,PASSED
"verifyResponseStatusCode(response, 200)",,,2019-04-05 12:00:32,2019-04-05 12:00:32,0.003s,PASSED
"verifyElementPropertyValue(response, ""message"", ""success"")",,,2019-04-05 12:00:32,2019-04-05 12:00:32,0.074s,PASSED
"verifyElementPropertyValue(response, ""isSuccess"", true)",,,2019-04-05 12:00:32,2019-04-05 12:00:32,0.027s,PASSED
