Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Get All Features,,,2019-04-05 14:09:44,2019-04-05 14:09:51,6.932s,FAILED
,,,,,,
Test Cases/API Test/Get All Features/Fail Without Auth,,,2019-04-05 14:09:44,2019-04-05 14:09:49,4.857s,FAILED
"request = findTestObject(""Object Repository/Org Admin/Get All Features"")",,,2019-04-05 14:09:45,2019-04-05 14:09:45,0.056s,PASSED
response = sendRequest(request),,,2019-04-05 14:09:45,2019-04-05 14:09:49,3.828s,PASSED
"verifyResponseStatusCode(response, 401)",,,2019-04-05 14:09:49,2019-04-05 14:09:49,0.046s,FAILED
,,,,,,
Test Cases/API Test/Get All Features/Succeed With Auth,,,2019-04-05 14:09:49,2019-04-05 14:09:51,1.547s,PASSED
"request = findTestObject(""Object Repository/Org Admin/Get All Features"")",,,2019-04-05 14:09:50,2019-04-05 14:09:50,0.009s,PASSED
"authHeader = new com.kms.katalon.core.testobject.TestObjectProperty(Authorization, com.kms.katalon.core.testobject.ConditionType.EQUALS, (Bearer  + internal.GlobalVariable.Authorization))",,,2019-04-05 14:09:50,2019-04-05 14:09:50,0.136s,PASSED
httpHeaderProperties.add(authHeader),,,2019-04-05 14:09:50,2019-04-05 14:09:50,0.017s,PASSED
response = sendRequest(request),,,2019-04-05 14:09:50,2019-04-05 14:09:51,0.794s,PASSED
"verifyResponseStatusCode(response, 200)",,,2019-04-05 14:09:51,2019-04-05 14:09:51,0.003s,PASSED
"verifyElementPropertyValue(response, ""message"", ""success"")",,,2019-04-05 14:09:51,2019-04-05 14:09:51,0.049s,PASSED
"verifyElementPropertyValue(response, ""isSuccess"", true)",,,2019-04-05 14:09:51,2019-04-05 14:09:51,0.022s,PASSED
