Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Add Organization,,,2019-04-05 15:12:33,2019-04-05 15:12:40,6.966s,FAILED
,,,,,,
Test Cases/API Test/Add Organization/Succeed With Auth,,,2019-04-05 15:12:33,2019-04-05 15:12:38,4.630s,FAILED
"request = findTestObject(""Object Repository/Org Admin/Add Organization"")",,,2019-04-05 15:12:34,2019-04-05 15:12:34,0.160s,PASSED
"authHeader = new com.kms.katalon.core.testobject.TestObjectProperty(Authorization, com.kms.katalon.core.testobject.ConditionType.EQUALS, (Bearer  + internal.GlobalVariable.Authorization))",,,2019-04-05 15:12:34,2019-04-05 15:12:34,0.161s,PASSED
httpHeaderProperties.add(authHeader),,,2019-04-05 15:12:34,2019-04-05 15:12:34,0.014s,PASSED
response = sendRequest(request),,,2019-04-05 15:12:34,2019-04-05 15:12:38,3.507s,PASSED
println(Authorization),,,2019-04-05 15:12:38,2019-04-05 15:12:38,0.006s,PASSED
"verifyResponseStatusCode(response, 200)",,,2019-04-05 15:12:38,2019-04-05 15:12:38,0.042s,FAILED
,,,,,,
Test Cases/API Test/Add Organization/Fail Without Auth,,,2019-04-05 15:12:38,2019-04-05 15:12:39,0.886s,PASSED
"request = findTestObject(""Object Repository/Org Admin/Add Organization"")",,,2019-04-05 15:12:38,2019-04-05 15:12:38,0.016s,PASSED
response = sendRequest(request),,,2019-04-05 15:12:38,2019-04-05 15:12:39,0.592s,PASSED
"verifyResponseStatusCode(response, 401)",,,2019-04-05 15:12:39,2019-04-05 15:12:39,0.003s,PASSED
,,,,,,
Test Cases/API Test/Add Organization/Fail With Auth,,,2019-04-05 15:12:39,2019-04-05 15:12:40,0.923s,FAILED
"response = sendRequest(findTestObject(""Object Repository/Org Admin/Add Organization""))",,,2019-04-05 15:12:39,2019-04-05 15:12:40,0.595s,PASSED
"verifyEqual(statusCode, 200)",,,2019-04-05 15:12:40,2019-04-05 15:12:40,0.089s,FAILED
