Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Get Country States,,,2019-04-05 12:49:28,2019-04-05 12:49:48,19.853s,FAILED
,,,,,,
Test Cases/API Test/Get Country States/Fail Without Auth,,,2019-04-05 12:49:29,2019-04-05 12:49:45,15.708s,FAILED
"response = sendRequest(findTestObject(""Object Repository/Org Admin/Get Country States""))",,,2019-04-05 12:49:31,2019-04-05 12:49:45,14.113s,PASSED
"verifyResponseStatusCode(response, 401)",,,2019-04-05 12:49:45,2019-04-05 12:49:45,0.126s,FAILED
,,,,,,
Test Cases/API Test/Get Country States/Succeed With Auth,,,2019-04-05 12:49:45,2019-04-05 12:49:48,2.612s,PASSED
"request = findTestObject(""Object Repository/Org Admin/Get Country States"")",,,2019-04-05 12:49:46,2019-04-05 12:49:46,0.012s,PASSED
"authHeader = new com.kms.katalon.core.testobject.TestObjectProperty(Authorization, com.kms.katalon.core.testobject.ConditionType.EQUALS, (Bearer  + internal.GlobalVariable.Authorization))",,,2019-04-05 12:49:46,2019-04-05 12:49:47,0.256s,PASSED
httpHeaderProperties.add(authHeader),,,2019-04-05 12:49:47,2019-04-05 12:49:47,0.017s,PASSED
response = sendRequest(request),,,2019-04-05 12:49:47,2019-04-05 12:49:48,0.873s,PASSED
"verifyResponseStatusCode(response, 200)",,,2019-04-05 12:49:48,2019-04-05 12:49:48,0.005s,PASSED
"verifyElementPropertyValue(response, ""message"", ""success"")",,,2019-04-05 12:49:48,2019-04-05 12:49:48,0.087s,PASSED
"verifyElementPropertyValue(response, ""isSuccess"", true)",,,2019-04-05 12:49:48,2019-04-05 12:49:48,0.030s,PASSED
