Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Create Mail Request,,,2019-04-05 12:03:45,2019-04-05 12:03:52,7.675s,FAILED
,,,,,,
Test Cases/API Test/Create Mail Request/Fail With Auth,,,2019-04-05 12:03:45,2019-04-05 12:03:50,4.422s,PASSED
"response = sendRequest(findTestObject(""Object Repository/Mail/Create Mail Request""))",,,2019-04-05 12:03:46,2019-04-05 12:03:50,3.732s,PASSED
"verifyNotEqual(statusCode, 200)",,,2019-04-05 12:03:50,2019-04-05 12:03:50,0.054s,PASSED
,,,,,,
Test Cases/API Test/Create Mail Request/Fail Without Auth,,,2019-04-05 12:03:50,2019-04-05 12:03:51,0.982s,PASSED
"request = findTestObject(""Object Repository/Mail/Create Mail Request"")",,,2019-04-05 12:03:50,2019-04-05 12:03:50,0.011s,PASSED
response = sendRequest(request),,,2019-04-05 12:03:50,2019-04-05 12:03:51,0.623s,PASSED
"verifyResponseStatusCode(response, 401)",,,2019-04-05 12:03:51,2019-04-05 12:03:51,0.019s,PASSED
,,,,,,
Test Cases/API Test/Create Mail Request/Succeed with Auth,,,2019-04-05 12:03:51,2019-04-05 12:03:52,1.779s,FAILED
"signInRequest = findTestObject(""Auth/Sign In"")",,,2019-04-05 12:03:51,2019-04-05 12:03:51,0.006s,PASSED
signInResponse = sendRequest(signInRequest),,,2019-04-05 12:03:51,2019-04-05 12:03:52,0.852s,PASSED
"request = findTestObject(""Object Repository/Mail/Create Mail Request"")",,,2019-04-05 12:03:52,2019-04-05 12:03:52,0.011s,PASSED
jsonSlurper = new groovy.json.JsonSlurper(),,,2019-04-05 12:03:52,2019-04-05 12:03:52,0.007s,PASSED
signInResponseBody = jsonSlurper.parseText(signInResponse.getResponseBodyContent()),,,2019-04-05 12:03:52,2019-04-05 12:03:52,0.019s,PASSED
"authHeader = new com.kms.katalon.core.testobject.TestObjectProperty(Authorization, com.kms.katalon.core.testobject.ConditionType.EQUALS, (Bearer  + signInResponseBody.data.token))",,,2019-04-05 12:03:52,2019-04-05 12:03:52,0.022s,PASSED
httpHeaderProperties.add(authHeader),,,2019-04-05 12:03:52,2019-04-05 12:03:52,0.011s,PASSED
response = sendRequest(request),,,2019-04-05 12:03:52,2019-04-05 12:03:52,0.531s,PASSED
"verifyResponseStatusCode(response, 200)",,,2019-04-05 12:03:52,2019-04-05 12:03:52,0.037s,FAILED
