Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Add Organization,,,2019-04-05 14:09:10,2019-04-05 14:09:17,6.956s,FAILED
,,,,,,
Test Cases/API Test/Add Organization/Succeed With Auth,,,2019-04-05 14:09:11,2019-04-05 14:09:15,4.657s,FAILED
"request = findTestObject(""Object Repository/Org Admin/Add Organization"")",,,2019-04-05 14:09:11,2019-04-05 14:09:11,0.166s,PASSED
"authHeader = new com.kms.katalon.core.testobject.TestObjectProperty(Authorization, com.kms.katalon.core.testobject.ConditionType.EQUALS, (Bearer  + internal.GlobalVariable.Authorization))",,,2019-04-05 14:09:11,2019-04-05 14:09:12,0.151s,PASSED
httpHeaderProperties.add(authHeader),,,2019-04-05 14:09:12,2019-04-05 14:09:12,0.013s,PASSED
response = sendRequest(request),,,2019-04-05 14:09:12,2019-04-05 14:09:15,3.470s,PASSED
println(Authorization),,,2019-04-05 14:09:15,2019-04-05 14:09:15,0.006s,PASSED
"verifyResponseStatusCode(response, 200)",,,2019-04-05 14:09:15,2019-04-05 14:09:15,0.035s,FAILED
,,,,,,
Test Cases/API Test/Add Organization/Fail Without Auth,,,2019-04-05 14:09:15,2019-04-05 14:09:16,0.853s,PASSED
"request = findTestObject(""Object Repository/Org Admin/Add Organization"")",,,2019-04-05 14:09:15,2019-04-05 14:09:15,0.013s,PASSED
response = sendRequest(request),,,2019-04-05 14:09:15,2019-04-05 14:09:16,0.578s,PASSED
"verifyResponseStatusCode(response, 401)",,,2019-04-05 14:09:16,2019-04-05 14:09:16,0.002s,PASSED
,,,,,,
Test Cases/API Test/Add Organization/Fail With Auth,,,2019-04-05 14:09:16,2019-04-05 14:09:17,0.896s,FAILED
"response = sendRequest(findTestObject(""Object Repository/Org Admin/Add Organization""))",,,2019-04-05 14:09:16,2019-04-05 14:09:17,0.614s,PASSED
"verifyEqual(statusCode, 200)",,,2019-04-05 14:09:17,2019-04-05 14:09:17,0.062s,FAILED
