Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Sign In,,,2019-04-05 12:50:09,2019-04-05 12:50:33,23.854s,FAILED
,,,,,,
Test Cases/API Test/Sign In/When Successful,,,2019-04-05 12:50:11,2019-04-05 12:50:27,15.666s,PASSED
"sendRequest(findTestObject(""Object Repository/Auth/Sign In""))",,,2019-04-05 12:50:13,2019-04-05 12:50:24,11.167s,PASSED
"response = sendRequestAndVerify(findTestObject(""Object Repository/Auth/Sign In""))",,,2019-04-05 12:50:24,2019-04-05 12:50:26,2.019s,PASSED
"verifyElementPropertyValue(response, ""isSuccess"", true)",,,2019-04-05 12:50:26,2019-04-05 12:50:27,0.503s,PASSED
"verifyElementPropertyValue(response, ""message"", ""Successfully Authenticated !"")",,,2019-04-05 12:50:27,2019-04-05 12:50:27,0.089s,PASSED
,,,,,,
Test Cases/API Test/Sign In/When Unsuccessful/Invalid Password,,,2019-04-05 12:50:27,2019-04-05 12:50:30,3.012s,FAILED
"sendRequest(findTestObject(""Object Repository/Auth/Sign In""))",,,2019-04-05 12:50:28,2019-04-05 12:50:29,1.073s,PASSED
"response = sendRequestAndVerify(findTestObject(""Object Repository/Auth/Sign In""))",,,2019-04-05 12:50:29,2019-04-05 12:50:30,1.046s,PASSED
"verifyElementPropertyValue(response, ""isSuccess"", false)",,,2019-04-05 12:50:30,2019-04-05 12:50:30,0.083s,FAILED
,,,,,,
Test Cases/API Test/Sign In/When Unsuccessful/Invalid Username,,,2019-04-05 12:50:30,2019-04-05 12:50:33,2.576s,FAILED
"sendRequest(findTestObject(""Object Repository/Auth/Sign In""))",,,2019-04-05 12:50:31,2019-04-05 12:50:31,0.834s,PASSED
"response = sendRequestAndVerify(findTestObject(""Object Repository/Auth/Sign In""))",,,2019-04-05 12:50:31,2019-04-05 12:50:32,0.996s,PASSED
"verifyElementPropertyValue(response, ""isSuccess"", false)",,,2019-04-05 12:50:32,2019-04-05 12:50:33,0.150s,FAILED
