Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Get Country States,,,2019-04-05 14:09:54,2019-04-05 14:10:02,7.712s,FAILED
,,,,,,
Test Cases/API Test/Get Country States/Fail Without Auth,,,2019-04-05 14:09:55,2019-04-05 14:10:00,5.395s,FAILED
"response = sendRequest(findTestObject(""Object Repository/Org Admin/Get Country States""))",,,2019-04-05 14:09:56,2019-04-05 14:10:00,4.547s,PASSED
"verifyResponseStatusCode(response, 401)",,,2019-04-05 14:10:00,2019-04-05 14:10:00,0.079s,FAILED
,,,,,,
Test Cases/API Test/Get Country States/Succeed With Auth,,,2019-04-05 14:10:00,2019-04-05 14:10:02,1.762s,PASSED
"request = findTestObject(""Object Repository/Org Admin/Get Country States"")",,,2019-04-05 14:10:01,2019-04-05 14:10:01,0.009s,PASSED
"authHeader = new com.kms.katalon.core.testobject.TestObjectProperty(Authorization, com.kms.katalon.core.testobject.ConditionType.EQUALS, (Bearer  + internal.GlobalVariable.Authorization))",,,2019-04-05 14:10:01,2019-04-05 14:10:01,0.183s,PASSED
httpHeaderProperties.add(authHeader),,,2019-04-05 14:10:01,2019-04-05 14:10:01,0.028s,PASSED
response = sendRequest(request),,,2019-04-05 14:10:01,2019-04-05 14:10:02,0.928s,PASSED
"verifyResponseStatusCode(response, 200)",,,2019-04-05 14:10:02,2019-04-05 14:10:02,0.005s,PASSED
"verifyElementPropertyValue(response, ""message"", ""success"")",,,2019-04-05 14:10:02,2019-04-05 14:10:02,0.107s,PASSED
"verifyElementPropertyValue(response, ""isSuccess"", true)",,,2019-04-05 14:10:02,2019-04-05 14:10:02,0.033s,PASSED
