Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Get Country States,,,2019-04-05 12:53:21,2019-04-05 12:53:27,6.938s,FAILED
,,,,,,
Test Cases/API Test/Get Country States/Fail Without Auth,,,2019-04-05 12:53:21,2019-04-05 12:53:26,4.960s,FAILED
"response = sendRequest(findTestObject(""Object Repository/Org Admin/Get Country States""))",,,2019-04-05 12:53:22,2019-04-05 12:53:26,4.204s,PASSED
"verifyResponseStatusCode(response, 401)",,,2019-04-05 12:53:26,2019-04-05 12:53:26,0.055s,FAILED
,,,,,,
Test Cases/API Test/Get Country States/Succeed With Auth,,,2019-04-05 12:53:26,2019-04-05 12:53:27,1.458s,PASSED
"request = findTestObject(""Object Repository/Org Admin/Get Country States"")",,,2019-04-05 12:53:26,2019-04-05 12:53:26,0.008s,PASSED
"authHeader = new com.kms.katalon.core.testobject.TestObjectProperty(Authorization, com.kms.katalon.core.testobject.ConditionType.EQUALS, (Bearer  + internal.GlobalVariable.Authorization))",,,2019-04-05 12:53:26,2019-04-05 12:53:26,0.135s,PASSED
httpHeaderProperties.add(authHeader),,,2019-04-05 12:53:26,2019-04-05 12:53:26,0.017s,PASSED
response = sendRequest(request),,,2019-04-05 12:53:26,2019-04-05 12:53:27,0.857s,PASSED
"verifyResponseStatusCode(response, 200)",,,2019-04-05 12:53:27,2019-04-05 12:53:27,0.004s,PASSED
"verifyElementPropertyValue(response, ""message"", ""success"")",,,2019-04-05 12:53:27,2019-04-05 12:53:27,0.073s,PASSED
"verifyElementPropertyValue(response, ""isSuccess"", true)",,,2019-04-05 12:53:27,2019-04-05 12:53:27,0.022s,PASSED
